"Symbol","price","grahamNumber","yearHigh","yearLow","grahamMinusPrice","DCF","DCFminusPrice","InsiderPurchased","TransactionCount","TransactionCountBand"
"DGE.PA",45.79,8.69367654664469,49.795,35.425,-37.0963234533553,"46.9622814498934","1.1722814498934",0,0,"1-12"
"DGX",136.33,138.272356229736,174.16,125.69,1.94235622973602,"143.306","6.976",8682222.38,18,"12-45"
"DHI",76.18,103.569031837332,110.45,74.47,27.3890318373316,"84.9563805358119","8.7763805358119",-2521086.2096,90,"45<"
"DHR",291.69,113.147677957491,333.96,224.77,-178.542322042509,"295.199771986971","3.50977198697097",0,0,"1-12"
"DIM.PA",380,42.6283747480521,551,287.5,-337.371625251948,"382.42605438293","2.42605438292998",0,0,"1-12"
"DIS",137,34.7175048054313,191.67,128.38,-102.282495194569,"145.730306345733","8.730306345733",11157990.2375,11,"1-12"
"DISCA",25.02,32.2131013194985,45.47,21.66,7.19310131949853,"30.9010240963855","5.8810240963855",0,0,"1-12"
"DISH",32.2,54.9382161047354,47.05,25.84,22.7382161047354,"36.0152661680598","3.8152661680598",0,4,"1-12"
"DLR",145.9,92.9474603683588,178.22,130.1,-52.9525396316412,"146.402812657856","0.502812657855998",0,9,"1-12"
"DLTR",159.43,66.4278361187984,162.13,84.26,-93.0021638812016,"163.717581699346","4.28758169934599",351092734.365,66,"45<"
"DOCU",108.63,3.33310223880669,314.76,71,-105.296897761193,"111.206248627256","2.57624862725601",2212123.2919,31,"12-45"
"DOL.TO",72.42,6.63587403728359,73.37,52.22,-65.7841259627164,"73.8254631866989","1.4054631866989",0,0,"1-12"
"DOV",158.55,71.4877611346826,184.05,137.65,-87.0622388653174,"161.200605060506","2.650605060506",-8185673.741,32,"12-45"
"DOW",64.18,68.2996800358026,71.38,52.07,4.11968003580263,"68.1693190921228","3.9893190921228",196796.025,3,"1-12"
"DOX",83.46,58.0532082516594,83.98,68.33,-25.4067917483406,"88.9445456514341","5.4845456514341",0,0,"1-12"
"DPZ",397.18,192.408748367997,567.57,367.29,-204.771251632003,"401.110875282237","3.93087528223697",11298057.32,19,"12-45"
"DRE",59.23,28.3988720493988,66.22,42.39,-30.8311279506012,"59.4113511377345","0.181351137734502",0,0,"1-12"
"DRI",130.07,48.3988585093025,164.28,116.04,-81.6711414906975,"139.286236722307","9.216236722307",248353.875,2,"1-12"
"DSY.PA",44.34,7.93012945366941,56.82,35.95,-36.4098705463306,"46.576706296588","2.236706296588",0,0,"1-12"
"DTE",134.94,69.05926968726,134.97,108.22,-65.88073031274,"135.084329896907","0.14432989690701",-479170.5,3,"1-12"
"DUK",112.82,85.6146404741041,112.9,95.48,-27.2053595258959,"113.266033810143","0.446033810143007",-1642428.741,7,"1-12"
"DVA",114.15,38.7561422394368,136.48,94.38,-75.3938577605632,"118.351076872703","4.201076872703",14220748.72,19,"12-45"
"DVN",60.35,35.7634860244114,63.26,20.14,-24.5865139755886,"63.4589837997055","3.1089837997055",-9844840.42,10,"1-12"
"DXCM",531.57,28.8214343147877,659.45,318.45,-502.748565685212,"542.037661691542","10.4676616915419",-19560747.4718,71,"45<"
"EA",125.23,42.0449825565783,148.93,117.58,-83.1850174434217,"143.243698630137","18.013698630137",-1407103.4017,5,"1-12"
"EBAY",57.71,84.5686007939311,81.19,49.53,26.8586007939311,"59.8057446808511","2.0957446808511",-15613117.5346,58,"45<"
"EC",18.93,79846.4787692895,19.13,11.52,79827.5487692895,"7096.34714806537","7077.41714806537",0,0,"1-12"
"ECL",180.37,47.3352631422,238.93,154.85,-133.0347368578,"181.614897959184","1.24489795918399",0,0,"1-12"
"ED",96.11,69.7049456519911,96.11,71.17,-26.4050543480089,"98.9114685117198","2.8014685117198",91197.51419,12,"12-45"
"EFX",234.13,63.5536679540767,300.11,180.85,-170.576332045923,"235.947961165049","1.81796116504901",0,0,"1-12"
"EIX",71.04,47.8534379490722,71.07,54.14,-23.1865620509278,"72.0663157894737","1.0263157894737",0,0,"1-12"
"EL",274.41,54.4971795118283,374.2,248.42,-219.912820488172,"287.875507876154","13.465507876154",-33974216.862,25,"12-45"
"ELAN",26.12,18.3608978125427,37.49,24.15,-7.75910218745729,"27.4292550790068","1.3092550790068",-11434415.829132,13,"12-45"
"ELS",79.07,15.7568760719278,88.7,64.16,-63.3131239280722,"79.7102436493442","0.640243649344214",0,0,"1-12"
"EMA.TO",62.92,45.5237471048711,63.71,55.42,-17.3962528951289,"64.5087096774194","1.5887096774194",0,0,"1-12"
"EMN",111.38,79.7315217284718,130.47,98.24,-31.6484782715282,"114.790104011887","3.410104011887",0,0,"1-12"
"EMP-A.TO",43.66,30.9611455613556,45.2,36.2,-12.6988544386444,"46.9667957988312","3.3067957988312",0,0,"1-12"
"EMR",98.42,37.9823758387778,105.99,86.72,-60.4376241612222,"102.33159853772","3.91159853772",-739734.896,5,"1-12"
"EN.PA",31.71,44.1730056887999,37.22,28.53,12.4630056887999,"48.8081469482815","17.0981469482815",0,0,"1-12"
"ENB",46.4,45.561158631186,46.53,36.21,-0.838841368813981,"46.5415841584158","0.141584158415803",0,0,"1-12"
"ENB.TO",58.08,45.4935938877883,58.18,45.76,-12.5864061122117,"58.2212345679012","0.141234567901201",0,0,"1-12"
"ENPH",205.89,9.44954534043029,282.46,108.88,-196.44045465957,"206.840263218675","0.950263218675019",-39018441.7187,22,"12-45"
"ENTG",125.13,29.4569908271381,158,101.16,-95.6730091728619,"128.115567759591","2.98556775959099",-7387358.54,25,"12-45"
"EOG",120.33,83.0376726541791,124.89,62.81,-37.2923273458209,"129.249520547945","8.919520547945",-17025465.7236,77,"45<"
"EPAM",287.04,91.6460609411006,725.4,168.59,-195.393939058899,"311.474994848234","24.434994848234",-20469162,56,"45<"
"EPD",25.86,24.0700101078094,26.18,20.42,-1.78998989219058,"27.1411307035085","1.2811307035085",0,0,"1-12"
"EQIX",763,123.156813761026,885.26,662.26,-639.843186238974,"779.982524014281","16.982524014281",-5316207.51,100,"45<"
"EQR",92.16,48.4236975264766,93.03,70.9,-43.7363024735234,"92.4788472966779","0.318847296677902",0,0,"1-12"
"EQT",36.03,45.2758934063832,36.075,15.71,9.24589340638321,"36.3494101885693","0.3194101885693",-703238.48,5,"1-12"
"ERF.PA",90.94,48.5842917093879,127.68,77.4,-42.3557082906121,"93.7074543501611","2.7674543501611",0,0,"1-12"
"ERIC",9.51,70.7941766421691,14.39,7.57,61.2841766421691,"25.7314885954382","16.2214885954382",0,0,"1-12"
"ES",89.84,58.2036895498566,92.66,78.44,-31.6363104501434,"90.0337303572496","0.193730357249592",-156156,2,"1-12"
"ESS",353.49,124.009501570537,359.49,273.67,-229.480498429463,"354.385865018726","0.895865018725999",-5556085.39,21,"12-45"
"ET",11.52,0,11.59,7.64,-11.52,"11.6426501186348","0.1226501186348",0,0,"1-12"
"ETN",151.81,70.539698325559,175.72,137.56,-81.270301674441,"152.548622233275","0.738622233275009",-905850,7,"1-12"
"ETR",120.09,85.4139041168156,120.24,98.5,-34.6760958831844,"122.280850032971","2.190850032971",-9307992.92,17,"12-45"
"ETSY",127.05,20.7663083586834,307.75,109.38,-106.283691641317,"132.368914098238","5.31891409823801",-6501466.29,15,"12-45"
"EW",123.07,3.07457150896105,131.73,83.8,-119.995428491039,"124.434571790407","1.36457179040701",-9325359.9847,28,"12-45"
"EWBC",78.34,75.6386529530098,93.51,65.87,-2.70134704699024,"111.183286428753","32.843286428753",-7685727.84,8,"1-12"
"EXAS",75.61,39.3230366548214,140.18,56.77,-36.2869633451786,"77.4511128230268","1.8411128230268",0,8,"1-12"
"EXC",47.66,37.1136023746015,48.03,30.527817,-10.5463976253985,"48.8661224489796","1.20612244897961",636176.13,4,"1-12"
"EXPD",100.02,62.3697105122362,137.8,97.37,-37.6502894877638,"110.114551824818","10.094551824818",0,2,"1-12"
"EXPE",198.2,7.2500629421045,217.72,136.77,-190.949937057895,"223.820092234825","25.620092234825",6746.59999999998,9,"1-12"
"EXR",209.57,57.1180553208949,228.84,132.99,-152.451944679105,"210.077984700152","0.507984700152008",-1051249.44,7,"1-12"
"F",16.65,35.0271901589644,25.87,11.14,18.3771901589644,"21.7391972249752","5.0891972249752",-15457166.03,100,"45<"
"FANG",138.44,134.571317260087,147.99,65.93,-3.86868273991274,"142.03046714503","3.59046714503",-2628129.9152,6,"1-12"
"FAST",59.67,13.8384727131333,64.75,48.57,-45.8315272868667,"60.0791460245973","0.409146024597298",0,0,"1-12"
"FB",224.85,118.193768384003,384.33,185.82,-106.656231615997,"230.656575725778","5.806575725778",-394924.1,17,"12-45"
"FCX",50.96,25.0620007762057,51.99,30.02,-25.8979992237943,"56.4039946018893","5.4439946018893",-4247.875,1,"1-12"
"FDS",429.12,80.3627791880067,495.4,306.86,-348.757220811993,"446.798636245787","17.678636245787",-1088425,3,"1-12"
"FDX",221.25,199.007379571917,319.9,199.03,-22.2426204280829,"247.601013232154","26.351013232154",0,0,"1-12"
"FE",46.59,29.0897794973989,46.65,34.29,-17.5002205026011,"49.2725688073394","2.68256880733939",-148480.5,1,"1-12"
"FFIV",209.17,69.0876037991704,249,174.34,-140.08239620083,"218.531989783586","9.36198978358601",-1328508.4269,36,"12-45"
"FHN",23.55,25.2801799295243,24.24,14.67,1.73017992952431,"53.169926199262","29.619926199262",-1254998.765,25,"12-45"
"FIS",103.37,34.2156510110241,155.96,85,-69.1543489889759,"106.606714975845","3.23671497584499",-3224809.670395,85,"45<"
"FISV",102.99,46.1816660698998,127.34,89.91,-56.8083339301002,"104.236826937435","1.246826937435",-2000400,6,"1-12"
"FITB",41.8,54.0484803775862,50.64,34.35,12.2484803775862,"46.0922761966476","4.29227619664761",-153850.24,2,"1-12"
"FLT",249.6,89.9163093653746,295.36,200.78,-159.683690634625,"267.756947298008","18.156947298008",-11329259.71,9,"1-12"
"FM.TO",44.42,19.9163658012986,44.48,20.67,-24.5036341987014,"47.1236224759888","2.7036224759888",0,0,"1-12"
"FMC",131.13,55.2468321143724,136.63,87.27,-75.8831678856276,"131.180391112558","0.0503911125580032",-866122.57,13,"12-45"
"FMX",83,283.959225559706,89.59,69.53,200.959225559706,"355.221465748727","272.221465748727",0,0,"1-12"
"FNF",46.96,80.0348232029084,56.44,41.45,33.0748232029084,"60.5740350877193","13.6140350877193",0,0,"1-12"
"FNV",163.67,53.0491467501075,168.37,124.95,-110.620853249892,"166.538617021277","2.868617021277",0,0,"1-12"
"FNV.TO",204.76,52.1885902094202,216.32,158.27,-152.57140979058,"207.576187989556","2.816187989556",0,0,"1-12"
"FOXA",39.36,38.9856241803766,44.95,34.16,-0.37437581962341,"49.2524369747899","9.8924369747899",27696.6,21,"12-45"
"FTNT",339.01,20.0176894157064,371.77,186.19,-318.992310584294,"346.90407540395","7.89407540395001",-537612,19,"12-45"
"FTS.TO",62.73,50.3237858380039,62.74,54.32,-12.4062141619961,"63.0078956300382","0.277895630038202",0,0,"1-12"
"FTV",60.63,32.6964740445714,79.87,56.06,-27.9335259554286,"62.9555747942095","2.32557479420949",1045721.8306,20,"12-45"
"FWONA",63.27,20.839079133397,63.8669,37.8,-42.430920866603,"71.5718443656039","8.30184436560389",-14805280.58,33,"12-45"
"GD",242.51,129.195840603596,254.99,180.88,-113.314159396404,"248.222758374911","5.712758374911",123353992.864,93,"45<"
"GDDY",84.7,3.9747770975564,90.43,65.699,-80.7252229024436,"92.0387685923848","7.3387685923848",-508290.4918,2,"1-12"
"GE",92.49,70.0356422911748,116.17,85.29,-22.4543577088252,"106.85247723133","14.36247723133",-20955860.99,52,"45<"
"GGG",70.74,24.218175750118,81.09,66.41,-46.521824249882,"74.3120530513692","3.57205305136921",0,0,"1-12"
"GIB",79.31,58.8868971775592,93.93,77.25,-20.4231028224408,"86.0238706370663","6.71387063706629",0,0,"1-12"
"GILD",59.67,43.2507117831813,74.12,57.19,-16.4192882168187,"63.899793977813","4.229793977813",51571789.76,44,"12-45"
