"Symbol","piotroskiScore","quickRatio","currentRatio","priceToOperatingCashFlowsRatio","ebitda","ROA","ROE","debtEquityRatio","netProfitMargin","interestCoverage"
"HBAN","6","806.428571428571","8993.14285714286","7.48693501454898","2.069e+09","0.00743979226031804","0.0671088770275172","8.019173964865","21.6157569687865","0"
"CMS","7","0.744785949506037","1.44182217343578","10.1463133589885","2.539e+09","0.0462560428477028","0.143334411035672","1.9248841469986","18.1470869149952",NA
"BIP","5",NA,NA,"6.1927398989899","4.884e+09","0.0103568096699612","-1.11111","-1.11111","6.63950767097166","0"
"BRO","7","0.816983496078153","1.24852907325054","18.7397379616709","986942000","0.0599364418740429","0.139890152072021","1.33397491906513","19.2649634686805","0"
"ULTA","8","0.426981855058697","1.46416454323143","19.9227289677276","1562626000","0.206918257342667","0.642083063854842","2.10307593008344","11.4221953265764","-780.211665664462"
"H.TO","5","0.511417058428476","0.61316319677636","9.03938669394137","2.409e+09","0.0317611822400685","0.0886296840558413","1.78425789860397","13.356401384083","3.81152993348115"
"CTLT","6","1.84782608695652","2.43979933110368","46.4851732101617","1.114e+09","0.0642010535557507","0.136874122601778","1.13196069255966","14.632316158079","7.52727272727273"
"BXP","5","2.53252653163014","2.67976945883787","821.443408225791","1649387000","0.0225978877314103","0.0865936352635061","2.4549722146993","17.4889333006995","0"
"BBY","5","0.372681281618887","0.987352445193929",NA,"2.999e+09","0.139968007312614","0.811258278145695","4.79602649006623","4.73329340623249","-121.56"
"ALNY","3","3.68999008207443","4.03699242500467","-23.669419395256","-948958000","-0.234079835226487","-1.44988039843387","5.19395684823097","-101.011149052396","4.95488075177771"
"ICLR","4","1.14035774204831","1.18647549332637","21.2829940034665","691929000","0.00881027244927127","0.018989498597156","1.15538153973055","2.79492543642144","2.07500698925026"
"KEY","5","41.9863945578231","200.011904761905","20.6415806616956","3.595e+09","0.0140866989363872","0.15066291683407","9.69540262870918","37.2975277067349","0"
