"Symbol","freeCashFlowGrowth","revGrowth1Yr","revGrowth2Yr","netIncomeGrowth1Yr","netIncomeGrowth2Yr","debt_repayment","employeeGrowth"
"ESS","-0.999998945646915","0.0374361031435085","0.141179713249606","-0.122516890661012","-0.0347685844348833","0","comingSoon"
"SPLK","1.49252383838134","0.104729895005506","0.253570486044619","0.750049986670122","0.976445420309358","-200957000","comingSoon"
"LEN","-0.400786339804573","-0.0288174075721519","0.09765408351786","-0.138192782302746","-0.0235050282035823","-1355063000","comingSoon"
"MG.TO","-0.26488513830286","0.210303265410297","0.35708188019425","0.28941236988111","0.465561188243065","-1.21e+08","comingSoon"
"CCL","0.222255820985788","1.84188480083857","1.85516055870021","-0.230301464582676","-0.257917111146195","-5.956e+09","comingSoon"
"HUBS","4.88758322237017","0.0984954530706765","0.208344997685787","0.306126418027416","0.436739044413325","-89525000","comingSoon"
"LR.PA","-0.0293096799074431","0.161097133699484","0.228517681285351","0.344540593071051","0.408080359659425","-84200000","comingSoon"
"OKTA","-0.210083729677921","0.935290248200086","0.85964126623499","0.531053431650462","0.504327763312828","-26000","comingSoon"
"LBRDA","-0.342763427634276","-0.925301012145749","-0.928015886639676","-0.441403239071038","-0.400940098360656","-2.476e+09","comingSoon"
"SWK","-0.913978494623656","0.141567984401813","0.294064050598059","-0.0928877308785224","0.0127860217854606","-1500000","comingSoon"
"CLR","-1.77772738460977","0.0453499548372726","0.185695117669624","-0.0427781679117238","0.0777719221562366","-1956025000","comingSoon"
"DRE","0.134154608817236","-0.00840827073855956","0.0907509021875845","1.75789089981768","2.03367998874422","-690313000","comingSoon"
"DOV","0.00562442632342262","0.0834729023264084","0.191820192559049","-0.0290527629918724","0.0680419587513281","0","comingSoon"
"RJF","0.666921119592875","0.0741256697819315","0.181538236760125","-0.111439349251604","-0.0225832858161083","-8.75e+08","comingSoon"
"TECK","1.01210653753027","-0.187303546695349","-0.106033901416809","-0.757760140167364","-0.733536154114365","-2.94e+08","comingSoon"
"ZTO","2.69600016724596","-0.541658214002909","-0.518587861134172","-0.195873337137187","-0.151263514739863","0","comingSoon"
"WN.TO","-0.0707559175362688","0.0158535473692044","0.0459906784066384","-0.396269781902552","-0.368652187935035","-2.953e+09","comingSoon"
"GRMN","-0.258451932420413","0.0438470276220475","0.148231730183562","-0.128362193679542","-0.0411984152652005","0","comingSoon"
"TOTS3.SA","-0.133832341595106",NA,NA,NA,NA,"-4157000","comingSoon"
"K","-0.224848075624578","0.0699941469571962","0.176993561596502","-0.153727058467742","-0.0690997654569892","-7.4e+08","comingSoon"
"TDY","0.320547945205479","-0.21012822009839","-0.131141042411633","-0.00628155400853357","0.0930902874466652","-1.141e+09","comingSoon"
"CINF","0.336505778382053","-0.214367264278297","-0.135803990758048","-0.272354422946368","-0.199589865580448","0","comingSoon"
"WPM","0.522307722977553","-0.032645215758823","0.0144107956038182","-0.0674026553552158","-0.0144265976636655","-680204000","comingSoon"
"VFC","0.921661355561679","0.147895120486036","0.298840474497312","-0.531281693386847","-0.696899715349781","-1664000","comingSoon"
"ZBRA","0.128491620111732","0.0666150879687222","0.173276596765594","-0.0124073859020311","0.0863518733572282","-3.03e+08","comingSoon"
"RKT","5.27514077353121","0.215423803620482","0.422301538680353","0.293376778819636","0.500710460400376","-4990981000","comingSoon"
"FTV","-0.330565760470242","0.358652713570708","0.494517984661351","0.0103279487179487","0.111360741288626","-611100000","comingSoon"
"PKI","0.609069182528898","-0.12146430896621","-0.00384908002871031","-0.121022875974755","-0.0176554711277178","-1912408000","comingSoon"
"VICI","-0.00847141974635706","0.0712899107559249","0.178418901301564","0.135945840167835","0.249540422606478","-2.1e+09","comingSoon"
"CNHI","0.109540636042403","-0.112570407263372","-0.0238274480076583","-0.393030668020894","-0.332333735345328","0","comingSoon"
"DOCU","1.07435250910006","0.765143049136466","0.731862512237728","1.08636120955756","1.03275052875272","0","comingSoon"
"BGNE","0.141336759021854","0.563258542374582","0.533806334019959","-0.259961961405281","-0.205305444354351","0","comingSoon"
"MPWR","0.0594257272675855","0.0533214155015988","0.158653557134554","-0.0366888353586229","0.0596422736682051","0","comingSoon"
"SUI","0.372756618113191","-0.129140017598865","-0.0123251534149452","-0.0902609009027968","0.00422560975609756","-4037700000","comingSoon"
"FOXA","0.0742771684945164","0.209611731892478","0.3305729050275","-0.923447823255814","-0.915792606511628","0","comingSoon"
"SWKS","0.389454094292804","-0.170065766573369","-0.087072343465581","-0.326853126877127","-0.259538440232263","-2.5e+08","comingSoon"
"PPL","1.59045725646123","0.446880996022826","0.689839277883451","0.501200021621622","0.622102866891892","-5.705e+09","comingSoon"
"RCL","0.278975822148075","-0.534439989217646","-0.554253726014648","-0.0664350933247968","-0.0487940729577175","-2806932000","comingSoon"
"MTB","3.15910896128696","0.0728091247464022","0.180090037137595","0.0593629463089631","0.165299239917665","-853091000","comingSoon"
"CVNA","-2.25444917595612","-0.178026693382238","-0.181695006789449","-0.338254814814815","-0.290796985185185","-1.266e+10","comingSoon"
"DOL.TO","0.218553910719294","0.224822894155592","0.317379357612116","0.279027452919121","0.403892745256473","-463804000","comingSoon"
"PAYC","0.45126028323504","0.00374245587973367","0.13967001697735","-0.0979200602163707","0.0286602674015105","-1775000","comingSoon"
"HPE","24.5594405594406","0.0127120048949035","0.113983205369997","0.0543222804201926","0.159754508024511","-5.465e+09","comingSoon"
"COO","1.97502837684449","0.0900874816082121","0.199096229597947","-0.664645087784834","-0.631109597242503","-1.416e+09","comingSoon"
"BEKE","-0.575794161308619",NA,NA,NA,NA,"0","comingSoon"
"CF","1.54772234273319","0.0472764238299174","0.186326526766595","-0.0169060785169029","0.108899473282443","-5.18e+08","comingSoon"
"HBAN","0.507475083056478","0.108355299616091","0.219190829410783","0.139894111969112","0.253883522779923","-3.404e+09","comingSoon"
"CMS","2.55204778156997","0.115956078591895","0.227551686451085","0.0504941278195489","0.155543539097744","0","comingSoon"
"BIP","-0.253308128544423","-0.256420219987865","-0.180225908381728","0.170372963446475","0.337162968668407","0","comingSoon"
"BRO","0.378643729827467","0.14195959865097","0.256155558516066","-0.0766751018558892","0.0156573860849185","-73125000","comingSoon"
"ULTA","0.347141713832729","0.101315141928022","0.029729657512685","-0.485028180114968","-0.518501350628958","0","comingSoon"
"H.TO","-0.580645161290323","0.0745652257439446","0.123705243875433","-0.0324295751295337","0.034890792746114","-4.709e+09","comingSoon"
"CTLT","-8.92156862745098","0.197368297648824","0.317105127313657","0.0347539965811966","0.138229393162393","-6.7e+07","comingSoon"
"BXP","-0.981378583036548","0.0560727222435896","0.161679994364093","0.0222581647660579","0.124483979263206","0","comingSoon"
"BBY","-1","-0.148875250381561","-0.00746415872954541","-0.383736517959184","-0.271411328163265","0","comingSoon"
"ALNY","0.083505271974342","0.121838782309807","0.234022659356356","-0.0280369689408366","0.0691593329925049","0","comingSoon"
"ICLR","0.422476691554799","0.221728360834663","0.372501732950471","0.115449169305089","0.353283637431863","-877780000","comingSoon"
"KEY","-0.324844720496894","-0.0089755179028133","0.0901269302358625","-0.163204021714286","-0.0795244247619048","-2.566e+09","comingSoon"
"MOH","0.124449339207048","0.14532463807569","0.298752549890173","0.00202874658573596","0.159532186646434","-7.23e+08","comingSoon"
"TOU.TO","17.0381556701246","-0.467421286090786","-0.404399077983083","-0.781704605795386","-0.752566480305194","-1851605000","comingSoon"
"CNP","-4.2279534109817","0.085216033644636","0.193737636853448","-0.12430998384926","-0.0367409831763122","-3.147e+09","comingSoon"
"STX","-0.000885739592559787","0.215641268139687","0.33720539481322","0.674138843987823","0.841552726027397","-3.3e+07","comingSoon"
"FLT","-0.219927415221785","0.0840008974018751","0.192400986895039","0.0554632929003915","0.16100962004629","-2537400000","comingSoon"
"VIV","-0.205869521119502","-0.272930664319942","-0.311232150932255","-0.179943858243699","-0.200825986675229","-3901147000","comingSoon"
"AKAM","0.778685979698962","0.0888281396489044","0.197710953613795","0.0195764929209597","0.121534139911178","0","comingSoon"
"TRU","0.0188383045525903","0.11975392912641","0.231729321667455","-0.640596282892365","-0.604655911614159","-780800000","comingSoon"
"PODD","-1.31272727272727","0.534992835820896","0.523077647433564","-5.61355863095238","-5.48028142857143","-483200000","comingSoon"
"PFG","-0.1490164747369","0.170770006590617","0.287847007158532","0.0720310171869519","0.179234118437975","-1800000","comingSoon"
"GIB","0.108623639860705","0.00674988778978911","0.107424876469814","0.128800591203384","0.241680648643753","-2058451000","comingSoon"
